DateOfValuation,Size SqM,SqFt,PropertyType,NoOfFloors,ADDRESS,SCHEME,PRICE,YEAR,pricePerSqft,Seller
23/03/2017,199.00,2142.00,Condominium/Apartment,14,""A-8-7",JALAN DESA BAKTI"1 DESA RESIDENCE,1700000.00,2017,793.6448283,null
23/03/2017,199.00,2142.00,Condominium/Apartment,14,""A-8-7",JALAN DESA BAKTI"1 DESA RESIDENCE,1700000.00,2017,793.6448283,null
20/04/2018,142.98,1539.00,Terraced House,2,""NO 28",JLN 7/105"1 DESA RESIDENCE,948000.00,2018,615.8892808,null
20/04/2018,142.98,1539.00,Terraced House,2,""NO 28",JLN 7/105"1 DESA RESIDENCE,948000.00,2018,615.8892808,null
3/3/2017,74.97,807.00,Condominium/Apartment,18,""C-07-03",JLN SG BESI"1 RAZAK MANSION,42000.00,2017,52.02575275,null
3/3/2017,74.97,807.00,Condominium/Apartment,18,""C-07-03",JLN SG BESI"1 RAZAK MANSION,42000.00,2017,52.02575275,null
3/3/2017,74.97,807.00,Condominium/Apartment,18,""C-07-10",JLN SG BESI"1 RAZAK MANSION,42000.00,2017,52.02575275,null
3/3/2017,74.97,807.00,Condominium/Apartment,18,""C-07-10",JLN SG BESI"1 RAZAK MANSION,42000.00,2017,52.02575275,null
7/3/2017,74.97,807.00,Condominium/Apartment,18,""C-04-09",JLN SG BESI"1 RAZAK MANSION,42000.00,2017,52.02575275,null
7/3/2017,74.97,807.00,Condominium/Apartment,18,""C-04-09",JLN SG BESI"1 RAZAK MANSION,42000.00,2017,52.02575275,null
3/3/2017,74.97,807.00,Condominium/Apartment,18,""C-09-06",JLN SG BESI"1 RAZAK MANSION,42000.00,2017,52.02575275,null
3/3/2017,74.97,807.00,Condominium/Apartment,18,""C-09-06",JLN SG BESI"1 RAZAK MANSION,42000.00,2017,52.02575275,null
3/3/2017,74.97,807.00,Condominium/Apartment,18,""C-09-10",JLN SG BESI"1 RAZAK MANSION,42000.00,2017,52.02575275,null
3/3/2017,74.97,807.00,Condominium/Apartment,18,""C-09-10",JLN SG BESI"1 RAZAK MANSION,42000.00,2017,52.02575275,null
24/05/2017,74.97,807.00,Condominium/Apartment,18,""C-8-8",JLN SG BESI"1 RAZAK MANSION,42000.00,2017,52.02575275,null
24/05/2017,74.97,807.00,Condominium/Apartment,18,""C-8-8",JLN SG BESI"1 RAZAK MANSION,42000.00,2017,52.02575275,null
3/3/2017,74.97,807.00,Condominium/Apartment,18,""C-7-07",JLN SG BESI"1 RAZAK MANSION,42000.00,2017,52.02575275,null
3/3/2017,74.97,807.00,Condominium/Apartment,18,""C-7-07",JLN SG BESI"1 RAZAK MANSION,42000.00,2017,52.02575275,null
3/3/2017,74.97,807.00,Condominium/Apartment,18,""C-03-11",JLN SG BESI"1 RAZAK MANSION,42000.00,2017,52.02575275,null
3/3/2017,74.97,807.00,Condominium/Apartment,18,""C-03-11",JLN SG BESI"1 RAZAK MANSION,42000.00,2017,52.02575275,null
3/3/2017,74.97,807.00,Condominium/Apartment,18,""C-04-03",JLN SG BESI"1 RAZAK MANSION,42000.00,2017,52.02575275,null
3/3/2017,74.97,807.00,Condominium/Apartment,18,""C-04-03",JLN SG BESI"1 RAZAK MANSION,42000.00,2017,52.02575275,null
3/3/2017,74.97,807.00,Condominium/Apartment,18,""C-03-05",JLN SG BESI"1 RAZAK MANSION,42000.00,2017,52.02575275,null
3/3/2017,74.97,807.00,Condominium/Apartment,18,""C-03-05",JLN SG BESI"1 RAZAK MANSION,42000.00,2017,52.02575275,null
4/4/2017,74.97,807.00,Condominium/Apartment,18,""C-04-08",JLN SG BESI"1 RAZAK MANSION,42000.00,2017,52.02575275,null
4/4/2017,74.97,807.00,Condominium/Apartment,18,""C-04-08",JLN SG BESI"1 RAZAK MANSION,42000.00,2017,52.02575275,null
3/3/2017,74.97,807.00,Condominium/Apartment,18,""C-04-06",JLN SG BESI"1 RAZAK MANSION,42000.00,2017,52.02575275,null
3/3/2017,74.97,807.00,Condominium/Apartment,18,""C-04-06",JLN SG BESI"1 RAZAK MANSION,42000.00,2017,52.02575275,null
